"Type"	"Calories"	"Sodium"
"1"	"Beef"	186	495
"2"	"Beef"	181	477
"3"	"Beef"	176	425
"4"	"Beef"	149	322
"5"	"Beef"	184	482
"6"	"Beef"	190	587
"7"	"Beef"	158	370
"8"	"Beef"	139	322
"9"	"Beef"	175	479
"10"	"Beef"	148	375
"11"	"Beef"	152	330
"12"	"Beef"	111	300
"13"	"Beef"	141	386
"14"	"Beef"	153	401
"15"	"Beef"	190	645
"16"	"Beef"	157	440
"17"	"Beef"	131	317
"18"	"Beef"	149	319
"19"	"Beef"	135	298
"20"	"Beef"	132	253
"21"	"Meat"	173	458
"22"	"Meat"	191	506
"23"	"Meat"	182	473
"24"	"Meat"	190	545
"25"	"Meat"	172	496
"26"	"Meat"	147	360
"27"	"Meat"	146	387
"28"	"Meat"	139	386
"29"	"Meat"	175	507
"30"	"Meat"	136	393
"31"	"Meat"	179	405
"32"	"Meat"	153	372
"33"	"Meat"	107	144
"34"	"Meat"	195	511
"35"	"Meat"	135	405
"36"	"Meat"	140	428
"37"	"Meat"	138	339
"38"	"Poultry"	129	430
"39"	"Poultry"	132	375
"40"	"Poultry"	102	396
"41"	"Poultry"	106	383
"42"	"Poultry"	94	387
"43"	"Poultry"	102	542
"44"	"Poultry"	87	359
"45"	"Poultry"	99	357
"46"	"Poultry"	107	528
"47"	"Poultry"	113	513
"48"	"Poultry"	135	426
"49"	"Poultry"	142	513
"50"	"Poultry"	86	358
"51"	"Poultry"	143	581
"52"	"Poultry"	152	588
"53"	"Poultry"	146	522
"54"	"Poultry"	144	545
